count,label,share,source_scope,value
47,AI文献阅读与知识整合,0.6026,xhs_expansion_candidate_v1,literature_processing
11,AI数据分析与代码,0.141,xhs_expansion_candidate_v1,data_analysis_or_code
10,AI研究设计与方法学习,0.1282,xhs_expansion_candidate_v1,research_design
4,AI论文写作与成果表达,0.0513,xhs_expansion_candidate_v1,paper_writing
4,AI科研训练与效率,0.0513,xhs_expansion_candidate_v1,research_training
2,其他/无法判断,0.0256,xhs_expansion_candidate_v1,unclear
