code,count,count_base,formalization_scope,share,source_scope
D1.10,24,included_rows,supplemental_formalization_v1,0.12,xhs_expansion_candidate_v1
D1.1,22,included_rows,supplemental_formalization_v1,0.11,xhs_expansion_candidate_v1
D1.2,22,included_rows,supplemental_formalization_v1,0.11,xhs_expansion_candidate_v1
D1.5,6,included_rows,supplemental_formalization_v1,0.03,xhs_expansion_candidate_v1
D1.7,5,included_rows,supplemental_formalization_v1,0.025,xhs_expansion_candidate_v1
,165,included_rows,supplemental_formalization_v1,0.825,xhs_expansion_candidate_v1
