count,formalization_scope,left,right,source_scope
2,supplemental_formalization_v1,F4,C1,xhs_expansion_candidate_v1
2,supplemental_formalization_v1,F4,C13,xhs_expansion_candidate_v1
2,supplemental_formalization_v1,F4,C14,xhs_expansion_candidate_v1
2,supplemental_formalization_v1,F5,C12,xhs_expansion_candidate_v1
2,supplemental_formalization_v1,F6,C11,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F1,C13,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F2,C13,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F2,C9,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F4,,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F5,C9,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F6,C12,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F6,C13,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F6,C4,xhs_expansion_candidate_v1
1,supplemental_formalization_v1,F6,C9,xhs_expansion_candidate_v1
