code,count,count_base,formalization_scope,share,source_scope
K3,24,included_rows,supplemental_formalization_v1,0.12,xhs_expansion_candidate_v1
K2,22,included_rows,supplemental_formalization_v1,0.11,xhs_expansion_candidate_v1
K4,9,included_rows,supplemental_formalization_v1,0.045,xhs_expansion_candidate_v1
K6,8,included_rows,supplemental_formalization_v1,0.04,xhs_expansion_candidate_v1
K1,2,included_rows,supplemental_formalization_v1,0.01,xhs_expansion_candidate_v1
,165,included_rows,supplemental_formalization_v1,0.825,xhs_expansion_candidate_v1
