code,count,count_base,formalization_scope,share,source_scope
B0,123,included_rows,supplemental_formalization_v1,0.615,xhs_expansion_candidate_v1
B2,34,included_rows,supplemental_formalization_v1,0.17,xhs_expansion_candidate_v1
B1,32,included_rows,supplemental_formalization_v1,0.16,xhs_expansion_candidate_v1
B3,11,included_rows,supplemental_formalization_v1,0.055,xhs_expansion_candidate_v1
