code,count,formalization_scope,share,source_scope
H5,44,supplemental_formalization_v1,0.2136,xhs_expansion_candidate_v1
H4,26,supplemental_formalization_v1,0.1262,xhs_expansion_candidate_v1
H2,21,supplemental_formalization_v1,0.1019,xhs_expansion_candidate_v1
H3,21,supplemental_formalization_v1,0.1019,xhs_expansion_candidate_v1
H1,4,supplemental_formalization_v1,0.0194,xhs_expansion_candidate_v1
H6,1,supplemental_formalization_v1,0.0049,xhs_expansion_candidate_v1
,128,supplemental_formalization_v1,0.6214,xhs_expansion_candidate_v1
