count,count_base,formalization_scope,share,source_scope,value
200,all_formalization_rows,supplemental_formalization_v1,0.9709,xhs_expansion_candidate_v1,include
6,all_formalization_rows,supplemental_formalization_v1,0.0291,xhs_expansion_candidate_v1,exclude
