code,count,formalization_scope,share,source_scope
F1,157,supplemental_formalization_v1,0.7621,xhs_expansion_candidate_v1
F2,110,supplemental_formalization_v1,0.534,xhs_expansion_candidate_v1
F3,64,supplemental_formalization_v1,0.3107,xhs_expansion_candidate_v1
F5,51,supplemental_formalization_v1,0.2476,xhs_expansion_candidate_v1
F6,26,supplemental_formalization_v1,0.1262,xhs_expansion_candidate_v1
F4,14,supplemental_formalization_v1,0.068,xhs_expansion_candidate_v1
,6,supplemental_formalization_v1,0.0291,xhs_expansion_candidate_v1
