code,count,count_base,formalization_scope,share,source_scope
G2,97,included_rows,supplemental_formalization_v1,0.485,xhs_expansion_candidate_v1
G3,53,included_rows,supplemental_formalization_v1,0.265,xhs_expansion_candidate_v1
G1,50,included_rows,supplemental_formalization_v1,0.25,xhs_expansion_candidate_v1
