code,count,formalization_scope,share,source_scope
K3,24,supplemental_formalization_v1,0.1165,xhs_expansion_candidate_v1
K2,20,supplemental_formalization_v1,0.0971,xhs_expansion_candidate_v1
K4,9,supplemental_formalization_v1,0.0437,xhs_expansion_candidate_v1
K6,8,supplemental_formalization_v1,0.0388,xhs_expansion_candidate_v1
K1,2,supplemental_formalization_v1,0.0097,xhs_expansion_candidate_v1
,173,supplemental_formalization_v1,0.8398,xhs_expansion_candidate_v1
