code,count,formalization_scope,share,source_scope
J2,26,supplemental_formalization_v1,0.1262,xhs_expansion_candidate_v1
J4,24,supplemental_formalization_v1,0.1165,xhs_expansion_candidate_v1
J1,23,supplemental_formalization_v1,0.1117,xhs_expansion_candidate_v1
J3,22,supplemental_formalization_v1,0.1068,xhs_expansion_candidate_v1
,173,supplemental_formalization_v1,0.8398,xhs_expansion_candidate_v1
