code,count,formalization_scope,share,source_scope
D1.1,22,supplemental_formalization_v1,0.1068,xhs_expansion_candidate_v1
D1.10,22,supplemental_formalization_v1,0.1068,xhs_expansion_candidate_v1
D1.2,22,supplemental_formalization_v1,0.1068,xhs_expansion_candidate_v1
D1.5,6,supplemental_formalization_v1,0.0291,xhs_expansion_candidate_v1
D1.7,5,supplemental_formalization_v1,0.0243,xhs_expansion_candidate_v1
,173,supplemental_formalization_v1,0.8398,xhs_expansion_candidate_v1
