code,count,formalization_scope,share,source_scope
B0,129,supplemental_formalization_v1,0.6262,xhs_expansion_candidate_v1
B1,33,supplemental_formalization_v1,0.1602,xhs_expansion_candidate_v1
B2,33,supplemental_formalization_v1,0.1602,xhs_expansion_candidate_v1
B3,11,supplemental_formalization_v1,0.0534,xhs_expansion_candidate_v1
