count,formalization_scope,share,source_scope,value
157,supplemental_formalization_v1,0.7621,xhs_expansion_candidate_v1,A1
36,supplemental_formalization_v1,0.1748,xhs_expansion_candidate_v1,unclear
10,supplemental_formalization_v1,0.0485,xhs_expansion_candidate_v1,A3
3,supplemental_formalization_v1,0.0146,xhs_expansion_candidate_v1,A2
