code,count,count_base,formalization_scope,share,source_scope
F1,156,included_rows,supplemental_formalization_v1,0.78,xhs_expansion_candidate_v1
F2,110,included_rows,supplemental_formalization_v1,0.55,xhs_expansion_candidate_v1
F3,63,included_rows,supplemental_formalization_v1,0.315,xhs_expansion_candidate_v1
F5,52,included_rows,supplemental_formalization_v1,0.26,xhs_expansion_candidate_v1
F6,26,included_rows,supplemental_formalization_v1,0.13,xhs_expansion_candidate_v1
F4,14,included_rows,supplemental_formalization_v1,0.07,xhs_expansion_candidate_v1
