code,count,formalization_scope,share,source_scope
G2,98,supplemental_formalization_v1,0.4757,xhs_expansion_candidate_v1
G3,52,supplemental_formalization_v1,0.2524,xhs_expansion_candidate_v1
G1,50,supplemental_formalization_v1,0.2427,xhs_expansion_candidate_v1
,6,supplemental_formalization_v1,0.0291,xhs_expansion_candidate_v1
