count,formalization_scope,share,source_scope,value
99,supplemental_formalization_v1,0.4806,xhs_expansion_candidate_v1,文献处理与知识整合
36,supplemental_formalization_v1,0.1748,xhs_expansion_candidate_v1,待人工判定
31,supplemental_formalization_v1,0.1505,xhs_expansion_candidate_v1,数据分析与代码
14,supplemental_formalization_v1,0.068,xhs_expansion_candidate_v1,研究设计与方法学习
13,supplemental_formalization_v1,0.0631,xhs_expansion_candidate_v1,论文写作与成果表达
10,supplemental_formalization_v1,0.0485,xhs_expansion_candidate_v1,科研训练与效率
3,supplemental_formalization_v1,0.0146,xhs_expansion_candidate_v1,科研规范与治理
