count,formalization_scope,share,source_scope,value
81,supplemental_formalization_v1,0.3932,xhs_expansion_candidate_v1,工具推荐
49,supplemental_formalization_v1,0.2379,xhs_expansion_candidate_v1,经验分享
29,supplemental_formalization_v1,0.1408,xhs_expansion_candidate_v1,教程展示
26,supplemental_formalization_v1,0.1262,xhs_expansion_candidate_v1,风险提醒
14,supplemental_formalization_v1,0.068,xhs_expansion_candidate_v1,规范解读
7,supplemental_formalization_v1,0.034,xhs_expansion_candidate_v1,评论争论
