code,count,count_base,formalization_scope,share,source_scope
H5,42,included_rows,supplemental_formalization_v1,0.21,xhs_expansion_candidate_v1
H4,26,included_rows,supplemental_formalization_v1,0.13,xhs_expansion_candidate_v1
H2,22,included_rows,supplemental_formalization_v1,0.11,xhs_expansion_candidate_v1
H3,21,included_rows,supplemental_formalization_v1,0.105,xhs_expansion_candidate_v1
H1,5,included_rows,supplemental_formalization_v1,0.025,xhs_expansion_candidate_v1
H6,1,included_rows,supplemental_formalization_v1,0.005,xhs_expansion_candidate_v1
,122,included_rows,supplemental_formalization_v1,0.61,xhs_expansion_candidate_v1
